Search String,Search Engine,Media Name,Media Title,Link,Time
tata mergers,Google,ET Now,Tata Capital and Tata Motors Finance merger: NCLT asks NBFCs to seek shareholders' nod,https://news.google.co.in/read/CBMi1AFBVV95cUxQN2RXU2xsbGxKNXJLVExuTXdlUks2SkxxNlpyNXRUOVFXdktHdGRveDFIQ2p3RHl6QmlVdHVQUU11amZJbXBfM0NZdEZ0bnlaVldzLVgydHQyd1p5MkF1NHBwRnR0VGp1eUFjMWlfZGFDb25qNkNpX2FpMlNpX2hUZVZlSzIyUlBHLS1zOXZUT0RRSzh5TnJfTDN6NndDQmlkWXg5dW5QckdEWUFrRmptemhFU2tEMHN4emxxZEgtSHIyNkhLc0pYNTNOSFRHSHNaVnFSMNIB2gFBVV95cUxOdV9MOUR0Q1Q1Z0swYzBpZWhMLVVhdG1FWEdBbG9OQXNCY0hWS2dNVXFPREwtbVdDZ25oSHlCc0d4OXBMMHpKX0lBWVFxMk1pczM3NHNUb2F1aWo3Z2tfR1BfUnJUMk4zb29Pa3pyY0hKNEJBbmlSX19uNVozblRjcVZGLTJZRE96cjE5ZGZaelQ5QmJQWklmZmZ3S3JGNnBpZ09OZGkxaWl0OEE1UFJPSy1qTTB6RXdycUdlWHRGdTdna3lpYzZOaVJ3ZXVvM2ZFemVtUnl5Y0NrQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-07T08:00:00Z
tata mergers,Google,Business Standard,CCI clears proposed merger of Tata Motors Finance into Tata Capital,https://news.google.co.in/read/CBMi0gFBVV95cUxNX191dEI2RGt3N3pVdlZ3bUQtZnZpWnZYV3VtaE1GVGtoZGxGVDhTejhYaWdlYXVxbnJuZVY4ZEpSRklVbXplaEpaWFh5YUR0bU5abDJ6aUxBcllQN1VxZ0c2YVB5S1QzTWVkWXpYR0RCNG91RE9HYkhQLXJZeWctc19CaFNwMm5hbk5TWXdGTE8zT2s2VU5EdWRCVWhZTW51MF8tWUt6NUVVc3RicU15d19XblA4QkFNZnNENDlyNDJWbW9FWHVRTVh1eGdYRy1YMVHSAdcBQVVfeXFMTlhjQkxiNGZDM2tTN1pZeE9IRWhaUWItX1NkRHRhSzNzZHR1V1RyYVQtVUFISlRjaXEtOGlrYnBZSTZZN2RnRG5mM2swZ2FGWkpZNUJ3bThSanRReTQxQTV5VzQxb1NZQklmUE9WdUZESEVvenhHVzlTRDh5Yjd2SHBCem9yR1NGTDFPc3pDS3V2YlZ6dmJkdGpzaWE1eHN5b1FSR0c1ZXMxcXU1bG9uUGVIczNZWFN5UlVPQ0hNUzhsa1pUZGp0Q0ttOXUyU01BTTBWRlA5eTg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10T07:00:00Z
tata mergers,Google,BusinessLine,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",https://news.google.co.in/read/CBMi6gFBVV95cUxPek15M1BQSHNKYl82YjkxS0ZpUzZNQ01SdmlwQ3BWdElpZkxvMkJYS3MySnVEM0l3N3ZTQnBxc1Q3Z3hoQXdSRjFpeUhwLUl3UkhmV185QlB2eDM1VGVjc2psVmhyTzVEbUZzM00wbk9WZTFDT3Iya3BCczRzYXVsakNIel9KZEtKZVNaZlpEekJxZTlyWFU4a1g0UGhRR2xja0x3MlE2blV6Z3FKY3NybmoxS0xEenMzdVpwVWNJT1g1eWJFY1FxV0Mxb3dlNjk1eTN2aklCY29uTk9nclg4bjlmTTdTMHJvLXfSAfABQVVfeXFMUFYyZ3d3dllUQVhkdXBaYWQ2ZFFXSHVER1ROZGN4NGJCREotTklDVzlPSHFsUmJITEd4ai1lMEZNU05zcWlWRFFrelNqb1BUTGlCUWU0V1hkQy1uZTVsaU1nOG9HdU9YT25DdTZyQzRPT090RnJLbkJ1SHZ2eldrVnNVaWx5SzZGVkVhcjlDZVhWU2pNSUM4bUFWU2xQbGZUN0twTm9tUlRZT3B1Yk9XUTRQZGZvcnJESThnSnByN1EyRG9mTnMtNW9RRDhLX3dFU1dYSGFicGM5QVV1MndxdjJSZ3RpS3FDOUwzWmJiclF0?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-24T07:00:00Z
tata mergers,Google,The Economic Times,Air India-Vistara merger a step towards creating a world-class airline: Tata Sons Chairman N Chandrasekara,https://news.google.co.in/read/CBMirAJBVV95cUxQWEpNZ2tLdnVzd2lhOERDb0pwS2wxZFZGYXBZSlJSSVZ2bzBvRVh4ZXBpZEFqMk44UDA2WWRfd0cyQmp1Umc3M1NMa0p5Q28wNmdabi1wUUx5NjRTWWZ6Nmk3V1VCRzJheHNrMC15NzdCcFpnV2xIZVVOSkRnOVhoSV9HSEQxOGxCYmFUUGhGMjZDYS1BYk9ZYnFYRVJlTUdmbFdnRGw0TmFxVmM3YzVkdDlFTzJMbVFjbl83QTVOT2NvT2tERV8teWZOcGJLcTZaY2lrM3U3QTRzZDA0YnhnSU1qbXFsYUpqSTc2S3JrMUJjU3pIaUIycXZubzRuWEEtNHdBVGVoQ2phMEdhbzZ4bXJmc0lTa2IwSDJ5M1FFZ1BaSnJPV0p0TGc4NW3SAbICQVVfeXFMTjN4MjNfU0d3cTRTQTNXYzRtNmRSRFBndXdIWWZoekQ3RGZlX2NPM0UwLWJCVFhTSDlaeFZ5Q2tEdVNZcEJMRklUbzBVZVJHX1ZzTUM2MmtrUTZoVnBCeVBUN0JxVkVMcUJoOW94cE85eGFkQ2dkdFgtZEdjSmJFZ3liX0lPTTgzeWpOaG1YTE1DUEVMdHFCUmFpS245TGU3OE42MVAweXJ6RDVLWDgxTXFsN3U3aF9hT0VpRGs1M1VtVEJBUERBZE0xdmlQalRveFFrUUlDWTJuRUNtOUpwSjRVWkNiN3pwelZHd0hiRFpSMWV0Ym9tZWJCa2NKMURJNnBqTUNaVFZEa3g2LWNQS0d6Y0tId25DbGxiZTdGd3Y3QmVVd0J0QkgxcDh6ODZkeWNR?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-14T08:00:00Z
tata mergers,Google,CNBCTV18,Tata Motors Finance merger with Tata Capital gets CCI approval,https://news.google.co.in/read/CBMiqwFBVV95cUxPdV90VG44NFZHTDBWLU5WXy0wZjU4dFJhU2VZT184NmxqSlhhYWtzOVNDSVF3SUh1dFIzY3h4VlBVNV9ZODExczZlanIyMDdJYXhTQVMtMVUwUnBLcXFfZjhZTFJ5cnZpem5mc1JXR0pKVS1WZGR4RURjek5hNjUzeG5ydGVzb3A0TlVVcmM2d0tkYmZoWm5LSXRUM2VDYmNINVhkTE0tLVI2OVHSAbABQVVfeXFMTktrdmdzMUJBaElpLU93eUVYSUNwS1JDeWhvaGs3TWh1eFRhSVJfZ3gydnN3STNVNjl0SHdkMWlUVjVPeFFGVE1LQjlKNXUzREZydFZacjNhTjBOTkNyR3RXZmRyVUlnLVFxbGkySnpIUDdJRDRFUmE5LWRRWVRKUHZrRUVXLUJ1dnZRN1FQQ3JNd2tEMXd6UmM1N3pSTkhPSjNMbS1Wdnk4Tnc3WGJIemM?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10T07:00:00Z
tata mergers,Google,Business Today,CCI okays merger of Tata Motors Finance and Tata Capital. Key details,https://news.google.co.in/read/CBMi2AFBVV95cUxPRmtjMFNqSVZ6VUs1WkVaQk1HT2ZyRmQ5aXdiOGQyZ0tfX3RKS0xsaWp6MG1Tckl5VXBDWTFiV0hQV0xiQTlhWjNEMHh1Zk1Za0MxSTBZQU5leExBdUgwdW9BeHBjVDB6VEJOeDhuWDUtRWN0dVg3bFhuS0NKemZHWnVQVjVRQ3hEVlRvOEZ3YzFMTWFNdzNydGJFcWh3bkFGWV9wYk5VeWZZS3F2TUNYbnh6TzRVTEdQQ2p5NG1xTXQyT05WN1REY1NQM3RicVR6ZUtQT1BkVXQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10T07:00:00Z
tata mergers,Google,The Financial Express,Vistara merges with Air India: A look at complete timeline of Tata Group’s aviation business,https://news.google.co.in/read/CBMi8AFBVV95cUxQZ1J0ZjR2aUhTM19KMkRudzFMOE9HZjQzMkV1Mko2cmc3RVpwcXNiODlwQ1NHemtieU5wNzRRbnNSVjdIdVV2a0dXM0VTRks2NUVoblM2ajdQamREcUd6Uk14ck5sRmpmZUZxQ2l5eUNRZWNTZURDVjc1ZDdmTmQ4Y1UtMG9BU2d6Q2h2VmZHRGc5YTdDSk9qQkY1aGdRRHcxR1pLaDlEQjRTTFhvZ0dQVWgxN2tmekpuYV9MZk9fX1lCTkl3akFUUUtkSWlJS2tYblFTR0hKYWpMckthN1pBRWg0YmlmY2dZemUwbTU2S0c?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-13T08:00:00Z
tata mergers,Google,The Economic Times,"Air India completes merger with Vistara; Tata-owned airline group now operates 8,300 weekly flights",https://news.google.co.in/read/CBMi7wFBVV95cUxPN3EyYTMxZm0wSWs5MHl2UkRyUnlMQks5eU4wV2t0MDVYeFA4Ry1JQnFHTkdfWk53MzIzdXhNWFZZZmpVSWotTjM1LS1BazQ2WUlsQ3FSN2xqVFhZLWpFZzliSkg4S0FReDktU2JxeGQwMDBnd1cwenlibDBJNWd5b01UMU1pUVJVbGh5SzJCdXVld0NfM1pLWV82VDZWQ3RGbGJjOXllZ0dMLTUxZkxEbXk2eW00eTcwczBfWDQta3BNU2ptOGdrTl8ycnhZaWVTRGc3Znk4R0owOE1ibVFxdVM4dDNodVZFUFRDM0F0QdIB9AFBVV95cUxOWXNlZW9HaTBHbWdDTDg4MHg2WU44RVFGTHY5OFZ0dVJXWDUyM19QQTJEYU81d0plMmNyNmtScGg1SFk4YWZlVnhDN0pFcmtzd05YNmZ3em1ncEFtY0VSUHYzRGlHZDZaOHRWS3RzcFJGQWlFckVaY0tOMjVXbUo5VUY4enhVTS10S3puR2JaUjVzMGJXZGIxUDh5MG9BTkdSeWVGaERhaF9NckFhVVl4R1dHYWt6Y0ZrTGVkc2VkYnZscDJORzB1Y3pLSDNsd1hxNUlJWm82eHJoYnZrdEx4Tl83aWRLS2Zyblc1STVlU2NsU1VP?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12T08:00:00Z
tata mergers,Google,The Economic Times,Air India-Vistara Merger: Tata gets a key task done to move towards merging four airlines into two,https://news.google.co.in/read/CBMioAJBVV95cUxPcFJNOFpiRDFYTWNaaXUzbXBxSXZOVmloWFdYaGhDUU00RkEwdnZET0RvSUhIb29JRHg5VlFIZjBXYUdkcnoxNnV3bkVfd1ZZbzktbENzenFWY0JfTy15X1lKMF9HdERaS2QwNXIyRWptV2JVTHM1cld0MkhzQ3RUOEpTZkZnbk9kVmJmVGxIbFdDd1hMazhPa2tJUF82cnM5bTRJWXRBcUY2R3FBeU9XWFNYQkkyMUFYZWlfLVBzSXNpWHI4eFFQTDRtSm5PT3BiTlVvcW9RRW9tb0E2TXlUVktDQl9wb1M4ZlJRbTltenF6RHZVTEZhMXdTLU8zWXNBa1JGWkFXS0ZMMm9mMjA2TW91N0ZxMi1TNVNtcjBLbmvSAaYCQVVfeXFMTlFxcDgtVlJJajhQdkM0MEtOYUEtMnJwRmFxMS16UEZkM1NBTkF0dEp1dWY4bk5SUGlnbGc0Q1hUVHljWlhGWG1CczU3Y1lPcUpMWkVTWVR3R2lXUUU0RjhIN1pyZlU1YVJ3aWlGazVRcUJ6N1FkcmYxMEdsak5DcGpqUUo2QXhBSTFNcmNQd0c2YVhGcWNRenpyU3VIWXM3WmRSQVV4bGdnZDFMTEVtbEZncmZTbUE1MG04Qm1BRU5JMUV6dW1UOE9KZzJwejZOYjJpTGpGRHd0Vl90eC02TEpDN0RFZ0VBZGhCU3lkd2JBU1FOVDZGSDdYVWxKeHQ3anY2djNaYkt2V0REXzNOQW9iUHpnX0RFOHNMay1ZQ2I5QnRnZzJn?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-07-08T07:00:00Z
tata mergers,Google,The Times of India,Tata LCCs' merger to complete on October 1; mega AI Express to have 100 aircraft by year end,https://news.google.co.in/read/CBMiywFBVV95cUxPc1luc0JCSlFWYWZDWFJISHQxS0Z4QlpwM1VBQ1JZcTRkNmhubVljSm5wcXplZUtyZXFHTWU2TmtRVVdzU0IwN0M3SndkZ3N4NHVmOFRfUGlUdDkxN3RoTm1yYVhFRUNFcVpTWVlXOHE4WXFzNVhRZjBWQllaUlBMNGtKT1I2b0FqVzc4R3JycHNrc29GUEsySW5ZRkQxYTcwa0VoSkhoX1EtVzJiQVo0bFRNR29YOU5uTm8xMFN6OS1uQUc1WlhJbm5BRdIB0AFBVV95cUxQVEs4N3FuSld6UHJ1by1vMFFWc3dXMFFpZG1oY1NKem5FZFhTb0NiUkJGcllaanZZTm4zTlBPXzVFaVVnaFE1UmFOQm1MLTZ0dUtmSTNnUmU3aUpyVTJGMldneU1TZVNHcElFNk1GYnlQRk82ZWlDLU53bGZhN3hnVnFaZ0FXbExyQUZKQTRNMEVLTlg4d3BTbXE4QjdsblR6YTVBaVB4Q29vQ3lycDVBTnYwUThvQlBxNVpMQ2VEM3pJM1lKR0ZQZmhDRkxjN00x?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-09T07:00:00Z
